Word,Count
extensions::servisdata,1
Manuelles,1
\gefunden:"\+taggedValueDef.getName());\,1
automatisch,1
\fügen,\,1
Druckoption,1
wechseln,1
ViewModelBase,1
\"\DataContractAntwort"\:\,1
HeaderRow,1
abgebrochen,1
antwort,1
Datenmitglied-Objekts:,1
stored,1
schnell,1
this.«uipart.technicalName»View.Refresh();,1
datei,1
Manually,1
<auto-generated>,1
\RemoveItemsFromList<«this.technicalName»ViewModel>(this.m_«this.technicalName»,\,1
«uiDialog.technicalName»Part.xaml,1
Fehlermeldung,1
must,1
Eintrag,1
file,1
OPERATORS,1
ersten,1
(werden,1
auswerten,1
(item.ChangeType,1
Entitaet-DatenMitglied-Objekts:,1
zurückholen,1
eventuell,1
\Standarddrucker"\).ToString();\,1
verlegt,1
dass,1
